question,A,B,C,D,answer
"In the financial statements of employee benefit pension plans and trusts, the plan investments are reported at",(A) Fair value.,(B) Historical cost.,(C) Net realizable value.,(D) Lower of historical cost or market.,A
When FDR carried states in the presidential election of 1932 how many states did he not carry?,(A) six,(B) seven,(C) eight,(D) ten,A
"A 22-year-old woman comes to the emergency department because of a 5-day history of sore throat and fever. During the past 3 days, she also has noticed a change in her voice and has had increased pain with swallowing. She has been taking acetaminophen since her symptoms began. Medical history is unremarkable and she takes no routine medications. Vital signs are temperature 40.0°C (104.0°F), pulse 130/min, respirations 18/min, and blood pressure 102/66 mm Hg. Pulse oximetry on room air shows an oxygen saturation of 97%. Examination of the oropharynx shows erythema, edema, and anterior displacement of the right side of the soft palate. The uvula is deviated to the left. There is a white exudate on the right tonsil. Trismus is noted. Palpation of the neck discloses enlarged, tender, mobile anterior cervical lymph nodes. In addition to antibiotic therapy, which of the following is the most appropriate management?",(A) Incision and drainage,(B) Intravenous methylprednisolone therapy,(C) Oral nystatin therapy,(D) Salt water gargle,A
Under which circumstances would you not use a catheter valve?,(A) If the patient is post-operative.,(B) If the patient chooses it.,(C) If the patient has bladder sensation.,(D) If urine does not need to be measured.,A
Which of the following is thought to be implicated in the development of peripheral muscle fatigue during multiple sprint activities?,(A) An accumulation of inorganic phosphate.,(B) Development of hyperosmolality in the muscles.,(C) An excess of antioxidants.,(D) A lack of potassium.,A
The 'mad cows disease' has had the greatest impact on food choice due to which of the following?,(A) A difference in perception of risk,(B) Higher prices of meat,(C) Farmers or food producers not trusting the government,(D) Scientists investigating alternatives for meat,A
Which of the following would be provided in the marketing segment of a business plan?,(A) How the products and services will be priced,(B) The organizational structure of the business,(C) Any factors that could affect employee retention,(D) The details of the budget plan,A
Which of the following digital camera settings can be used to keep colors accurate under a variety of light conditions?,(A) White balance,(B) Aperture,(C) ISO speed,(D) Shutter speed,A
"Nature is more important for ______ differences, while nurture has greater influence on ______ differences.",(A) structural and anatomical; psychological and social,(B) psychological and social; structural and anatomical,(C) structural and psychological; anatomical and social,(D) social and anatomical; psychological and structural,A
The demand for labor is called derived demand because it is,(A) dependent on the demand for the final product that the labor is used to produce,(B) inversely related to the wage rate,(C) dependent on the availability of capital goods,(D) directly related to the marginal utility of working,A
